330000  浙江省	1
330522102000	李家巷镇	4
330522103000	夹浦镇	4
330522104000	林城镇	4
330522106000	虹星桥镇	4
330522108000	小浦镇	4
330522110000	和平镇	4
330522111000	泗安镇	4
330522112000	煤山镇	4
330522200000	水口乡	4
330522202000	吕山乡	4
330523000000	安吉县	3
330523001000	递铺街道	4
330523002000	昌硕街道	4
330523003000	灵峰街道	4
330523004000	孝源街道	4
330523103000	鄣吴镇	4
330523104000	杭垓镇	4
330523105000	孝丰镇	4
330523106000	报福镇	4
330523107000	章村镇	4
330523108000	天荒坪镇	4
330523110000	梅溪镇	4
330523111000	天子湖镇	4
330523201000	溪龙乡	4
330523205000	上墅乡	4
330523206000	山川乡	4
330600000000	绍兴市	2
330601000000	市辖区	3
330602000000	越城区	3
330602001000	塔山街道	4
330602002000	府山街道	4
330602004000	北海街道	4
330602005000	城南街道	4
330602006000	稽山街道	4
330602007000	迪荡街道	4
330602008000	东湖街道	4
330602009000	灵芝街道	4
330602010000	东浦街道	4
330602011000	鉴湖街道	4
330602012000	斗门街道	4
330602013000	皋埠街道	4
330602014000	马山街道	4
330602015000	孙端街道	4
330602016000	陶堰街道	4
330602108000	富盛镇	4
330603000000	柯桥区	3
330603001000	柯桥街道	4
330603002000	柯岩街道	4
330603003000	华舍街道	4
330603004000	湖塘街道	4
330603005000	齐贤街道	4
330603006000	福全街道	4
330603007000	安昌街道	4
330603008000	兰亭街道	4
330603009000	钱清街道	4
330603010000	杨汛桥街道	4
330603011000	马鞍街道	4
330603105000	平水镇	4
330603107000	王坛镇	4
330603109000	稽东镇	4
330603111000	漓渚镇	4
330603114000	夏履镇	4
330604000000	上虞区	3
330604001000	百官街道	4
330604002000	曹娥街道	4
330604003000	东关街道	4
330604004000	道墟街道	4
330604005000	梁湖街道	4
330604006000	小越街道	4
330604007000	崧厦街道	4
330604008000	沥海街道	4
330604101000	长塘镇	4
330604102000	上浦镇	4
330604103000	汤浦镇	4
330604104000	章镇镇	4
330604105000	下管镇	4
330604106000	丰惠镇	4
330604107000	永和镇	4
330604109000	驿亭镇	4
330604111000	谢塘镇	4
330604112000	盖北镇	4
330604200000	岭南乡	4
330604201000	陈溪乡	4
330604202000	丁宅乡	4
330624000000	新昌县	3
330624001000	羽林街道	4
330624002000	南明街道	4
330624003000	七星街道	4
330624101000	澄潭镇	4
330624102000	梅渚镇	4
330624104000	回山镇	4
330624106000	大市聚镇	4
330624107000	小将镇	4
330624108000	沙溪镇	4
330624109000	镜岭镇	4
330624110000	儒岙镇	4
330624200000	城南乡	4
330624201000	东茗乡	4
330624203000	双彩乡	4
330624205000	新林乡	4
330624206000	巧英乡	4
330681000000	诸暨市	3
330681001000	暨阳街道	4
330681002000	浣东街道	4
330681003000	陶朱街道	4
330681004000	暨南街道	4
330681005000	大唐街道	4
330681102000	应店街镇	4
330681103000	次坞镇	4
330681104000	店口镇	4
330681106000	姚江镇	4
330681108000	山下湖镇	4
330681109000	枫桥镇	4
330681110000	赵家镇	4
330681111000	马剑镇	4
330681112000	五泄镇	4
330681115000	牌头镇	4
330681116000	同山镇	4
330681117000	安华镇	4
330681119000	璜山镇	4
330681120000	陈宅镇	4
330681121000	岭北镇	4
330681122000	浬浦镇	4
330681124000	东白湖镇	4
330681201000	东和乡	4
330683000000	嵊州市	3
330683001000	剡湖街道	4
330683002000	三江街道	4
330683003000	鹿山街道	4
330683005000	嵊州市经济开发区浦口街道	4
330683100000	甘霖镇	4
330683101000	长乐镇	4
330683102000	崇仁镇	4
330683103000	黄泽镇	4
330683104000	三界镇	4
330683105000	石璜镇	4
330683106000	谷来镇	4
330683107000	仙岩镇	4
