650000  新疆维吾尔自治区	1
653127400000	胡杨林场	4
653127401000	园艺场	4
653127402000	五一林场	4
653127500000	兵团农三师前进水库管理处	4
653127505000	兵团四十五团	4
653127506000	兵团四十六团	4
653128000000	岳普湖县	3
653128100000	岳普湖镇	4
653128101000	艾西曼镇	4
653128102000	铁热木镇	4
653128103000	也克先拜巴扎镇	4
653128200000	岳普湖乡	4
653128203000	阿其克乡	4
653128204000	色也克乡	4
653128206000	巴依阿瓦提乡	4
653128207000	阿洪鲁库木乡	4
653128402000	岳普湖县奶牛场	4
653128502000	兵团四十二团	4
653129000000	伽师县	3
653129100000	巴仁镇	4
