410000  河南省	1
410381105000	顾县镇	4
410381106000	缑氏镇	4
410381107000	府店镇	4
410381108000	高龙镇	4
410381113000	山化镇	4
410381114000	邙岭镇	4
410381115000	大口镇	4
410400000000	平顶山市	2
410401000000	市辖区	3
410402000000	新华区	3
410402001000	曙光街街道	4
410402002000	光明路街道	4
410402003000	中兴路街道	4
410402004000	矿工路街道	4
410402005000	西市场街道	4
410402006000	新新街街道	4
410402007000	青石山街道	4
410402008000	湛河北路街道	4
410402010000	西高皇街道	4
410402100000	焦店镇	4
410402400000	香山管委会	4
410403000000	卫东区	3
410403001000	东安路街道	4
410403002000	优越路街道	4
410403003000	五一路街道	4
410403004000	建设路街道	4
410403005000	东环路街道	4
410403006000	东工人镇街道	4
410403007000	光华路街道	4
410403008000	鸿鹰街道	4
410403009000	申楼街道	4
410403010000	北环路街道	4
410403011000	东高皇街道	4
410403012000	蒲城街道	4
410404000000	石龙区	3
410404001000	高庄街道	4
410404002000	龙兴街道	4
410404003000	人民路街道	4
410404004000	龙河街道	4
410411000000	湛河区	3
410411001000	马庄街道	4
410411002000	南环路街道	4
410411003000	姚孟街道	4
410411004000	九里山街道	4
410411005000	轻工路街道	4
410411006000	高阳路街道	4
410411007000	北渡街道	4
410411008000	荆山街道	4
410411009000	河滨街道	4
410411200000	曹镇乡	4
410421000000	宝丰县	3
410421001000	铁路街道	4
410421100000	城关镇	4
410421101000	周庄镇	4
410421102000	闹店镇	4
410421103000	石桥镇	4
410421104000	商酒务镇	4
410421105000	大营镇	4
410421106000	张八桥镇	4
410421107000	杨庄镇	4
410421108000	赵庄镇	4
410421200000	肖旗乡	4
410421202000	前营乡	4
410421203000	李庄乡	4
410422000000	叶县	3
410422001000	九龙街道	4
410422002000	昆阳街道	4
410422003000	盐都街道	4
410422101000	任店镇	4
410422102000	保安镇	4
410422103000	仙台镇	4
410422105000	叶邑镇	4
410422106000	廉村镇	4
410422107000	常村镇	4
410422108000	辛店镇	4
410422109000	洪庄杨镇	4
410422110000	龚店镇	4
410422201000	夏李乡	4
410422203000	马庄回族乡	4
410422204000	田庄乡	4
410422207000	龙泉乡	4
410422208000	水寨乡	4
410422210000	邓李乡	4
410423000000	鲁山县	3
410423001000	露峰街道	4
410423002000	琴台街道	4
410423003000	鲁阳街道	4
410423004000	汇源街道	4
410423101000	下汤镇	4
410423102000	梁洼镇	4
410423103000	张官营镇	4
410423104000	张良镇	4
410423105000	尧山镇	4
