130000  河北省	1
130481208000	马家庄乡	4
130500000000	邢台市	2
130501000000	市辖区	3
130502000000	桥东区	3
130502001000	南长街街道	4
130502002000	北大街街道	4
130502003000	西大街街道	4
130502004000	西门里街道	4
130502005000	泉东街道	4
130502006000	豫让桥街道	4
130502100000	东郭村镇	4
130502101000	祝村镇	4
130502200000	大梁庄乡	4
130503000000	桥西区	3
130503001000	钢铁路街道	4
130503002000	中兴路街道	4
130503003000	达活泉街道	4
130503004000	张宽街道	4
130503005000	章村街道	4
130503006000	中华大街街道	4
130503007000	团结路街道	4
130503008000	泉西街道	4
130503100000	南大郭镇	4
130503101000	李村镇	4
130521000000	邢台县	3
130521103000	晏家屯镇	4
130521104000	南石门镇	4
130521105000	羊范镇	4
130521106000	皇寺镇	4
130521107000	会宁镇	4
130521108000	西黄村镇	4
130521109000	路罗镇	4
130521110000	将军墓镇	4
130521111000	浆水镇	4
130521112000	宋家庄镇	4
130521200000	太子井乡	4
130521201000	龙泉寺乡	4
130521202000	北小庄乡	4
130521203000	城计头乡	4
130521204000	白岸乡	4
130521206000	冀家村乡	4
130522000000	临城县	3
130522100000	临城镇	4
130522101000	东镇镇	4
130522102000	西竖镇	4
130522103000	郝庄镇	4
130522200000	黑城乡	4
130522201000	鸭鸽营乡	4
130522203000	石城乡	4
130522205000	赵庄乡	4
130523000000	内丘县	3
130523100000	内丘镇	4
130523101000	大孟村镇	4
130523102000	金店镇	4
130523103000	官庄镇	4
130523104000	柳林镇	4
130523200000	五郭店乡	4
130523203000	南赛乡	4
130523204000	獐獏乡	4
130523205000	侯家庄乡	4
130524000000	柏乡县	3
130524100000	柏乡镇	4
130524101000	固城店镇	4
130524102000	西汪镇	4
130524103000	龙华镇	4
130524200000	王家庄乡	4
130524203000	内步乡	4
130525000000	隆尧县	3
130525100000	隆尧镇	4
130525101000	魏家庄镇	4
130525102000	尹村镇	4
