360000  江西省	1
360781201000	丁陂乡	4
360781202000	大柏地乡	4
360781203000	岗面乡	4
360781204000	日东乡	4
360781205000	万田乡	4
360781206000	黄柏乡	4
360781207000	云石山乡	4
360781208000	泽覃乡	4
360781209000	拔英乡	4
360781400000	江西瑞金经济开发区	4
360800000000	吉安市	2
360801000000	市辖区	3
360802000000	吉州区	3
360802001000	古南街道	4
360802002000	永叔街道	4
360802003000	文山街道	4
360802004000	习溪桥街道	4
360802005000	北门街道	4
360802006000	白塘街道	4
360802007000	禾埠街道	4
360802100000	兴桥镇	4
360802101000	樟山镇	4
360802102000	长塘镇	4
360802103000	曲濑镇	4
360802400000	吉州区工业园小区	4
360803000000	青原区	3
360803001000	河东街道	4
360803002000	滨江街道	4
360803100000	天玉镇	4
360803101000	值夏镇	4
360803102000	新圩镇	4
360803103000	富滩镇	4
360803104000	富田镇	4
360803105000	文陂镇	4
360803201000	东固畲族少数民族乡	4
360803400000	青原区河东经济开发区	4
360803500000	东固垦殖场	4
360821000000	吉安县	3
360821001000	高新街道	4
360821002000	金鸡湖街道	4
360821100000	敦厚镇	4
360821101000	永阳镇	4
360821102000	天河镇	4
360821103000	横江镇	4
360821104000	固江镇	4
360821105000	万福镇	4
360821106000	永和镇	4
360821107000	桐坪镇	4
360821108000	凤凰镇	4
360821109000	油田镇	4
360821110000	敖城镇	4
360821111000	梅塘镇	4
360821112000	浬田镇	4
360821200000	北源乡	4
360821201000	大冲乡	4
360821204000	登龙乡	4
360821205000	安塘乡	4
360821206000	官田乡	4
360821207000	指阳乡	4
360821400000	吉安高新技术产业园区	4
360821401000	井冈山经济技术开发区	4
360822000000	吉水县	3
360822100000	文峰镇	4
360822101000	阜田镇	4
360822102000	盘谷镇	4
360822103000	枫江镇	4
360822104000	黄桥镇	4
360822105000	金滩镇	4
360822106000	八都镇	4
360822107000	双村镇	4
360822108000	醪桥镇	4
360822109000	螺田镇	4
360822110000	白沙镇	4
360822111000	白水镇	4
360822112000	丁江镇	4
360822113000	乌江镇	4
360822114000	水南镇	4
360822200000	尚贤乡	4
360822201000	水田乡	4
360822202000	冠山乡	4
360822400000	吉水县工业园区	4
360823000000	峡江县	3
360823100000	水边镇	4
360823101000	马埠镇	4
360823102000	巴邱镇	4
360823103000	仁和镇	4
360823104000	砚溪镇	4
360823105000	罗田镇	4
360823200000	桐林乡	4
360823201000	福民乡	4
360823202000	戈坪乡	4
360823203000	金江乡	4
