220000  吉林省	1
220882402000	东方红农场	4
220882404000	五间房水库	4
220882406000	风水山牧场	4
220882407000	东风马场	4
220882408000	良种繁育场	4
220882409000	大安马场	4
220882410000	安广猪场	4
220882411000	红旗饲养场	4
222400000000	延边朝鲜族自治州	2
222401000000	延吉市	3
222401001000	进学街道	4
222401002000	北山街道	4
222401003000	新兴街道	4
222401004000	公园街道	4
222401005000	河南街道	4
222401006000	建工街道	4
222401100000	小营镇	4
222401101000	依兰镇	4
222401102000	三道湾镇	4
222401105000	朝阳川镇	4
222401400000	延吉市林业局	4
222401401000	东山农场	4
222401402000	延边原种场	4
222401404000	延边新兴工业集中区	4
222402000000	图们市	3
222402001000	向上街道	4
222402002000	新华街道	4
222402003000	月宫街道	4
